Branch,Department,Agency,OMB Agency Code,OMB Bureau Code,POD-Formatted Bureau Code,,
Executive Branch,Other Defense Civil Programs,"Forest and Wildlife Conservation, Military Reservations",200,30,200:30,,
Executive Branch,Other Defense Civil Programs,Selective Service System,200,45,200:45,,
Executive Branch,International Assistance Programs,International Assistance Programs,184,00,184:00,,
Executive Branch,International Assistance Programs,Millennium Challenge Corporation,184,03,184:03,,
Executive Branch,International Assistance Programs,International Security Assistance,184,05,184:05,,
Executive Branch,International Assistance Programs,International Security Assistance,184,05,184:05,,
Executive Branch,International Assistance Programs,Multilateral Assistance,184,10,184:10,,
Executive Branch,International Assistance Programs,Multilateral Assistance,184,10,184:10,,
Executive Branch,International Assistance Programs,Multilateral Assistance,184,10,184:10,,
Executive Branch,International Assistance Programs,Agency for International Development,184,15,184:15,,
Executive Branch,International Assistance Programs,Agency for International Development,184,15,184:15,,
Executive Branch,International Assistance Programs,Overseas Private Investment Corporation,184,20,184:20,,
Executive Branch,International Assistance Programs,Trade and Development Agency,184,25,184:25,,
Executive Branch,International Assistance Programs,Peace Corps,184,35,184:35,,
Executive Branch,International Assistance Programs,Inter-American Foundation,184,40,184:40,,
Executive Branch,International Assistance Programs,African Development Foundation,184,50,184:50,,
Executive Branch,International Assistance Programs,International Monetary Programs,184,60,184:60,,
Executive Branch,International Assistance Programs,Military Sales Program,184,70,184:70,,
Executive Branch,International Assistance Programs,Special Assistance Initiatives,184,75,184:75,,
Executive Branch,International Assistance Programs,Foreign Assistance Program Allowances,184,95,184:95,,
Executive Branch,Executive Office of the President,Executive Office of the President,100,00,100:00,,
Executive Branch,Executive Office of the President,The White House,100,05,100:05,,
Executive Branch,Executive Office of the President,Executive Residence at the White House,100,10,100:10,,
Executive Branch,Executive Office of the President,Special Assistance to the President and the Official Residence of the Vice President,100,15,100:15,,
Executive Branch,Executive Office of the President,Council of Economic Advisers,100,20,100:20,,
Executive Branch,Executive Office of the President,Council on Environmental Quality and Office of Environmental  Quality,100,25,100:25,,
Executive Branch,Executive Office of the President,National Security Council and Homeland Security Council,100,35,100:35,,
Executive Branch,Executive Office of the President,Office of Administration,100,50,100:50,,
Executive Branch,Executive Office of the President,Office of Management and Budget,100,55,100:55,,
Executive Branch,Executive Office of the President,Office of National Drug Control Policy,100,60,100:60,,
Executive Branch,Executive Office of the President,Office of Science and Technology Policy,100,65,100:65,,
Executive Branch,Executive Office of the President,Office of the United States Trade Representative,100,70,100:70,,
Executive Branch,Executive Office of the President,Unanticipated Needs,100,95,100:95,,
Executive Branch,Executive Office of the President,Presidential Transition,100,98,100:98,,
Executive Branch,,Corps of Engineers--Civil Works,202,00,202:00,,
Executive Branch,,Environmental Protection Agency,020,00,020:00,,
Executive Branch,General Services Administration,General Services Administration,023,00,023:00,,
Executive Branch,General Services Administration,Real Property Activities,023,05,023:05,,
Executive Branch,General Services Administration,Supply and Technology Activities,023,10,023:10,,
Executive Branch,General Services Administration,General Activities,023,30,023:30,,
Executive Branch,,National Aeronautics and Space Administration,026,00,026:00,,
Executive Branch,,National Science Foundation,422,00,422:00,,
Executive Branch,,Office of Personnel Management,027,00,027:00,,
Executive Branch,,Small Business Administration,028,00,028:00,,
Executive Branch,,Social Security Administration,016,00,016:00,,
Executive Branch,,Access Board,310,00,310:00,,
Executive Branch,,Administrative Conference of the United States,302,00,302:00,,
Executive Branch,,Advisory Council on Historic Preservation,306,00,306:00,,
Executive Branch,,Affordable Housing Program,530,00,530:00,,
Executive Branch,,Appalachian Regional Commission,309,00,309:00,,
Executive Branch,,Barry Goldwater Scholarship and Excellence in Education Foundation,313,00,313:00,,
Executive Branch,,Broadcasting Board of Governors,514,00,514:00,,
Executive Branch,,Bureau of Consumer Financial Protection,581,00,581:00,,
Executive Branch,,Central Intelligence Agency,316,00,316:00,,
Executive Branch,,Chemical Safety and Hazard Investigation Board,510,00,510:00,,
Executive Branch,,Christopher Columbus Fellowship Foundation,465,00,465:00,,
Executive Branch,,Civilian Property Realignment Board,582,00,582:00,,
Executive Branch,,Commission of Fine Arts,323,00,323:00,,
Executive Branch,,Commission on Civil Rights,326,00,326:00,,
Executive Branch,,"Committee for Purchase from People who are Blind or Severely Disabled, activities",338,00,338:00,,
Executive Branch,,Commodity Futures Trading Commission,339,00,339:00,,
Executive Branch,,Consumer Product Safety Commission,343,00,343:00,,
Executive Branch,,Corporation for National and Community Service,485,00,485:00,,
Executive Branch,,Corporation for Public Broadcasting,344,00,344:00,,
Executive Branch,,Corporation for Travel Promotion,580,00,580:00,,
Executive Branch,,Council of the Inspectors General on Integrity and Efficiency,542,00,542:00,,
Executive Branch,,Court Services and Offender Supervision Agency for the District of Columbia,511,00,511:00,,
Executive Branch,,Defense Nuclear Facilities Safety Board,347,00,347:00,,
Executive Branch,,Delta Regional Authority,517,00,517:00,,
Executive Branch,,Denali Commission,513,00,513:00,,
Executive Branch,District of Columbia,District of Columbia Courts,349,10,349:10,,
Executive Branch,District of Columbia,District of Columbia General and Special Payments,349,30,349:30,,
Executive Branch,,Election Assistance Commission,525,00,525:00,,
Executive Branch,,Electric Reliability Organization,531,00,531:00,,
Executive Branch,,Equal Employment Opportunity Commission,350,00,350:00,,
Executive Branch,,Export-Import Bank of the United States,351,00,351:00,,
Executive Branch,,Farm Credit Administration,352,00,352:00,,
Executive Branch,,Farm Credit System Insurance Corporation,355,00,355:00,,
Executive Branch,,Federal Communications Commission,356,00,356:00,,
Executive Branch,Federal Deposit Insurance Corporation,Deposit Insurance,357,20,357:20,,
Executive Branch,Federal Deposit Insurance Corporation,FSLIC Resolution,357,30,357:30,,
Executive Branch,Federal Deposit Insurance Corporation,Orderly Liquidation,357,35,357:35,,
Executive Branch,Federal Deposit Insurance Corporation,FDICÑOffice of Inspector General,357,40,357:40,,
Executive Branch,,Federal Drug Control Programs,154,00,154:00,,
Executive Branch,,Federal Election Commission,360,00,360:00,,
Executive Branch,,Federal Financial Institutions Examination Council,362,10,362:10,,
Executive Branch,,Federal Financial Institutions Examination Council Appraisal Subcommittee,362,20,362:20,,
Executive Branch,,Federal Housing Finance Agency,537,00,537:00,,
Executive Branch,,Federal Labor Relations Authority,365,00,365:00,,
Executive Branch,,Federal Maritime Commission,366,00,366:00,,
Executive Branch,,Federal Mediation and Conciliation Service,367,00,367:00,,
Executive Branch,,Federal Mine Safety and Health Review Commission,368,00,368:00,,
Executive Branch,,Federal Retirement Thrift Investment Board,369,00,369:00,,
Executive Branch,,Federal Trade Commission,370,00,370:00,,
Executive Branch,,Harry S Truman Scholarship Foundation,372,00,372:00,,
Executive Branch,,Independent Payment Advisory Board,578,00,578:00,,
Executive Branch,,Indian Law and Order Commission,584,00,584:00,,
Executive Branch,,Institute of American Indian and Alaska Native Culture and Arts Development,373,00,373:00,,
Executive Branch,,Institute of Museum and Library Services,474,00,474:00,,
Executive Branch,,Intelligence Community Management Account,467,00,467:00,,
Executive Branch,,International Trade Commission,378,00,378:00,,
Executive Branch,,James Madison Memorial Fellowship Foundation,381,00,381:00,,
Executive Branch,,Japan-United States Friendship Commission,382,00,382:00,,
Executive Branch,,Legal Services Corporation,385,00,385:00,,
Executive Branch,,Marine Mammal Commission,387,00,387:00,,
Executive Branch,,Merit Systems Protection Board,389,00,389:00,,
Executive Branch,,Morris K Udall and Stewart L Udall Foundation,487,00,487:00,,
Executive Branch,,National Archives and Records Administration,393,00,393:00,,
Executive Branch,,National Capital Planning Commission,394,00,394:00,,
Executive Branch,,National Council on Disability,413,00,413:00,,
Executive Branch,,National Credit Union Administration,415,00,415:00,,
Executive Branch,,National Endowment for the Arts,417,00,417:00,,
Executive Branch,,National Endowment for the Humanities,418,00,418:00,,
Executive Branch,,National Infrastructure Bank,538,00,538:00,,
Executive Branch,,National Labor Relations Board,420,00,420:00,,
Executive Branch,,National Mediation Board,421,00,421:00,,
Executive Branch,,National Railroad Passenger Corporation Office of Inspector General,575,00,575:00,,
Executive Branch,,National Transportation Safety Board,424,00,424:00,,
Executive Branch,,Neighborhood Reinvestment Corporation,428,00,428:00,,
Executive Branch,,Northern Border Regional Commission,573,00,573:00,,
Executive Branch,,Nuclear Regulatory Commission,429,00,429:00,,
Executive Branch,,Nuclear Waste Technical Review Board,431,00,431:00,,
Executive Branch,,Occupational Safety and Health Review Commission,432,00,432:00,,
Executive Branch,,Office of Government Ethics,434,00,434:00,,
Executive Branch,,Office of Navajo and Hopi Indian Relocation,435,00,435:00,,
Executive Branch,,Office of Special Counsel,436,00,436:00,,
Executive Branch,,Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,534,00,534:00,,
Executive Branch,,Other Commissions and Boards,505,00,505:00,,
Executive Branch,,Patient-Centered Outcomes Research Trust Fund,579,00,579:00,,
Executive Branch,,Postal Service,440,00,440:00,,
Executive Branch,,Presidio Trust,512,00,512:00,,
Executive Branch,,Privacy and Civil Liberties Oversight Board,535,00,535:00,,
Executive Branch,,Railroad Retirement Board,446,00,446:00,,
Executive Branch,,Recovery Act Accountability and Transparency Board,539,00,539:00,,
Executive Branch,,Securities and Exchange Commission,449,00,449:00,,
Executive Branch,,Public Company Accounting Oversight Board,526,00,526:00,,
Executive Branch,,Standard Setting Body,527,00,527:00,,
Executive Branch,,Securities Investor Protection Corporation,576,00,576:00,,
Executive Branch,,Smithsonian Institution,452,00,452:00,,
Executive Branch,,State Justice Institute,453,00,453:00,,
Executive Branch,,Telecommunications Development Fund,528,00,528:00,,
Executive Branch,,Tennessee Valley Authority,455,00,455:00,,
Executive Branch,,United Mine Workers of America Benefit Funds,476,00,476:00,,
Executive Branch,,United States Court of Appeals for Veterans Claims,345,00,345:00,,
Executive Branch,,United States Enrichment Corporation Fund,486,00,486:00,,
Executive Branch,,United States Holocaust Memorial Museum,456,00,456:00,,
Executive Branch,,United States Institute of Peace,458,00,458:00,,
Executive Branch,,United States Interagency Council on Homelessness,376,00,376:00,,
Executive Branch,,Vietnam Education Foundation,519,00,519:00,,
Executive Branch,,Government Sponsored Enterprises,,,:,,
Executive Branch,,Federal National Mortgage Association,915,00,915:00,,
Executive Branch,,Federal Home Loan Mortgage Corporation,914,00,914:00,,
Executive Branch,,Federal Home Loan Bank System,913,00,913:00,,
Executive Branch,,Farm Credit System,912,00,912:00,,
Executive Branch,,Financing Vehicles and the Board of Governors ,,,:,,
Executive Branch,,of the Federal Reserve,,,:,,
Executive Branch,,Financing Vehicles and the Board of Governors of the Federal Reserve,920,00,920:00,,
